QID,Question,Option1,Option2,Option3,Option4,Answer,Subject
1,Which keyword is used to define a function in Python?,func,def,lambda,define,def,Python
2,Which data type is immutable in Python?,Dictionary,List,Set,Tuple,Tuple,Python
3,Which library is mainly used for data analysis?,Pygame,Flask,Tkinter,Pandas,Pandas,Python
4,Which library is used for numerical computing?,BeautifulSoup,Matplotlib,NumPy,Requests,NumPy,Python
5,Which method adds an element to a list?,insertEnd(),push(),add(),append(),append(),Python
6,Which keyword creates anonymous functions?,func,lambda,def,anon,lambda,Python
7,Which function opens a file in Python?,open(),file(),read(),load(),open(),Python
8,Which module generates random numbers?,math,random,os,time,random,Python
9,Which method converts text to lowercase?,lower(),down(),small(),casefold(),lower(),Python
10,Which operator checks equality?,!=,=,>=,==,==,Python
11,Which library is used for machine learning?,Flask,Scikit-learn,Pygame,Tkinter,Scikit-learn,Python
12,Which function displays output in Python?,display(),echo(),show(),print(),print(),Python
13,Which statement skips current iteration?,pass,break,skip,continue,continue,Python
14,Which keyword is used for exception handling?,except,error,catch,handle,except,Python
15,Which library is used for plotting graphs?,Matplotlib,Requests,NumPy,Flask,Matplotlib,Python
16,Which operator performs floor division?,**,%,/,//,//,Python
17,Which method removes an item from a list?,remove(),delete(),erase(),discard(),remove(),Python
18,Which keyword is used to create a class?,object,struct,define,class,class,Python
19,Which function converts value to float?,str(),float(),int(),bool(),float(),Python
20,Which collection stores unique elements?,List,Tuple,Set,Dictionary,Set,Python
21,Which keyword is used for conditional statements?,case,when,switch,if,if,Python
22,Which library is commonly used for web requests?,tkinter,pygame,requests,numpy,requests,Python
23,Which method sorts a list?,sort(),rank(),arrange(),order(),sort(),Python
24,Which function returns length of an object?,size(),len(),measure(),count(),len(),Python
25,Which keyword stops a loop?,break,stop,continue,exit,break,Python
26,Which file mode is used for reading?,r,a,x,w,r,Python
27,Which function takes user input?,scan(),take(),input(),read(),input(),Python
28,Which symbol is used for comments?,#,--,/*,//,#,Python
29,Which keyword imports modules?,import,require,include,using,import,Python
30,Which library is used for GUI applications?,Tkinter,NumPy,Pandas,Flask,Tkinter,Python
31,Which SQL command retrieves data from a table?,SELECT,SHOW,FETCH,GET,SELECT,DBMS
32,Which key uniquely identifies a row?,Alternate Key,Primary Key,Super Key,Foreign Key,Primary Key,DBMS
33,Which SQL clause filters records?,WHERE,SORT,GROUP BY,ORDER BY,WHERE,DBMS
34,Which JOIN returns matching rows from both tables?,LEFT JOIN,RIGHT JOIN,INNER JOIN,FULL JOIN,INNER JOIN,DBMS
35,Which command removes all rows but keeps structure?,TRUNCATE,REMOVE,DELETE,DROP,TRUNCATE,DBMS
36,Which statement modifies existing data?,CHANGE,ALTER,UPDATE,MODIFY,UPDATE,DBMS
37,Which command adds new rows?,ADD,INSERT,APPEND,CREATE,INSERT,DBMS
